id,target
6001,0
6002,1
6003,0
6004,0
6005,1
6006,1
6007,0
6008,1
6009,0
6010,1
6011,1
6012,0
6013,0
6014,0
6015,0
6016,0
6017,1
6018,1
6019,0
6020,1
6021,0
6022,0
6023,1
6024,0
6025,0
6026,1
6027,0
6028,1
6029,0
6030,1
6031,0
6032,0
6033,1
6034,1
6035,0
6036,0
6037,0
6038,0
6039,1
6040,1
6041,0
6042,0
6043,0
6044,0
6045,0
6046,1
6047,0
6048,0
6049,1
6050,0
6051,0
6052,0
6053,1
6054,0
6055,1
6056,1
6057,0
6058,1
6059,0
6060,1
6061,0
6062,1
6063,1
6064,0
6065,1
6066,0
6067,0
6068,0
6069,0
6070,0
6071,1
6072,1
6073,1
6074,1
6075,1
6076,0
6077,0
6078,1
6079,1
6080,0
6081,1
6082,0
6083,1
6084,1
6085,0
6086,0
6087,1
6088,0
6089,1
6090,1
6091,1
6092,1
6093,1
6094,1
6095,0
6096,1
6097,0
6098,0
6099,1
6100,0
6101,0
6102,0
6103,1
6104,0
6105,1
6106,0
6107,0
6108,1
6109,0
6110,1
6111,0
6112,1
6113,0
6114,1
6115,0
6116,1
6117,1
6118,0
6119,0
6120,0
6121,0
6122,0
6123,0
6124,0
6125,0
6126,0
6127,1
6128,0
6129,1
6130,0
6131,1
6132,1
6133,0
6134,1
6135,0
6136,0
6137,1
6138,1
6139,1
6140,0
6141,1
6142,0
6143,0
6144,0
6145,0
6146,1
6147,0
6148,0
6149,0
6150,0
6151,0
6152,1
6153,0
6154,0
6155,0
6156,0
6157,0
6158,0
6159,0
6160,1
6161,1
6162,1
6163,0
6164,0
6165,1
6166,1
6167,0
6168,1
6169,1
6170,1
6171,0
6172,1
6173,0
6174,1
6175,1
6176,0
6177,1
6178,0
6179,0
6180,1
6181,1
6182,0
6183,0
6184,0
6185,0
6186,1
6187,0
6188,0
6189,0
6190,0
6191,1
6192,0
6193,0
6194,0
6195,1
6196,1
6197,1
6198,1
6199,0
6200,0
6201,0
6202,0
6203,1
6204,0
6205,0
6206,1
6207,1
6208,1
6209,0
6210,0
6211,1
6212,0
6213,1
6214,1
6215,0
6216,0
6217,1
6218,1
6219,0
6220,0
6221,0
6222,1
6223,1
6224,0
6225,1
6226,0
6227,0
6228,1
6229,0
6230,1
6231,1
6232,0
6233,1
6234,0
6235,1
6236,0
6237,1
6238,0
6239,1
6240,1
6241,0
6242,0
6243,0
6244,0
6245,0
6246,1
6247,1
6248,1
6249,1
6250,1
6251,1
6252,1
6253,0
6254,1
6255,1
6256,0
6257,0
6258,0
6259,1
6260,0
6261,1
6262,0
6263,1
6264,1
6265,0
6266,1
6267,0
6268,0
6269,1
6270,0
6271,0
6272,1
6273,1
6274,0
6275,0
6276,0
6277,1
6278,0
6279,1
6280,0
6281,1
6282,0
6283,0
6284,1
6285,0
6286,1
6287,1
6288,0
6289,0
6290,1
6291,0
6292,1
6293,0
6294,1
6295,0
6296,0
6297,0
6298,0
6299,0
6300,1
6301,0
6302,0
6303,1
6304,1
6305,1
6306,0
6307,1
6308,1
6309,1
6310,1
6311,0
6312,0
6313,1
6314,0
6315,0
6316,1
6317,0
6318,1
6319,0
6320,1
6321,1
6322,0
6323,0
6324,0
6325,0
6326,1
6327,0
6328,0
6329,0
6330,1
6331,1
6332,0
6333,0
6334,0
6335,1
6336,1
6337,1
6338,1
6339,1
6340,1
6341,1
6342,0
6343,0
6344,0
6345,1
6346,0
6347,1
6348,0
6349,1
6350,1
6351,1
6352,1
6353,1
6354,0
6355,0
6356,0
6357,1
6358,0
6359,1
6360,0
6361,1
6362,0
6363,1
6364,0
6365,1
6366,1
6367,0
6368,1
6369,0
6370,0
6371,0
6372,1
6373,0
6374,1
6375,0
6376,1
6377,1
6378,1
6379,0
6380,1
6381,1
6382,0
6383,0
6384,1
6385,1
6386,1
6387,0
6388,0
6389,0
6390,0
6391,1
6392,0
6393,0
6394,1
6395,0
6396,0
6397,1
6398,0
6399,0
6400,0
6401,0
6402,0
6403,0
6404,1
6405,0
6406,0
6407,1
6408,1
6409,0
6410,1
6411,0
6412,1
6413,0
6414,0
6415,1
6416,0
6417,1
6418,0
6419,1
6420,0
6421,0
6422,0
6423,0
6424,0
6425,1
6426,0
6427,1
6428,1
6429,1
6430,1
6431,0
6432,0
6433,1
6434,0
6435,0
6436,0
6437,1
6438,1
6439,0
6440,1
6441,1
6442,1
6443,1
6444,1
6445,0
6446,0
6447,0
6448,0
6449,0
6450,0
6451,0
6452,0
6453,1
6454,1
6455,1
6456,0
6457,0
6458,0
6459,1
6460,1
6461,0
6462,0
6463,0
6464,1
6465,1
6466,0
6467,0
6468,1
6469,1
6470,0
6471,0
6472,0
6473,0
6474,1
6475,1
6476,0
6477,0
6478,0
6479,0
6480,1
6481,1
6482,0
6483,1
6484,0
6485,0
6486,1
6487,0
6488,1
